make,price,mpg,rep78,headroom,trunk,weight,length,turn,displacement,gear_ratio,foreign,weightsq
AMC Concord,4099,22,3,2.5,11,2930,186,40,121,3.5799999237060547,0,8584900
AMC Pacer,4749,17,3,3,11,3350,173,40,258,2.5299999713897705,0,11222500
AMC Spirit,3799,22,NA,3,12,2640,168,35,121,3.0799999237060547,0,6969600
Buick Century,4816,20,3,4.5,16,3250,196,40,196,2.930000066757202,0,10562500
Buick Electra,7827,15,4,4,20,4080,222,43,350,2.4100000858306885,0,16646400
Buick LeSabre,5788,18,3,4,21,3670,218,43,231,2.7300000190734863,0,13468900
Buick Opel,4453,26,NA,3,10,2230,170,34,304,2.869999885559082,0,4972900
Buick Regal,5189,20,3,2,16,3280,200,42,196,2.930000066757202,0,10758400
Buick Riviera,10372,16,3,3.5,17,3880,207,43,231,2.930000066757202,0,15054400
Buick Skylark,4082,19,3,3.5,13,3400,200,42,231,3.0799999237060547,0,11560000
Cad. Deville,11385,14,3,4,20,4330,221,44,425,2.2799999713897705,0,18748900
Cad. Eldorado,14500,14,2,3.5,16,3900,204,43,350,2.190000057220459,0,15210000
Cad. Seville,15906,21,3,3,13,4290,204,45,350,2.240000009536743,0,18404100
Chev. Chevette,3299,29,3,2.5,9,2110,163,34,231,2.930000066757202,0,4452100
Chev. Impala,5705,16,4,4,20,3690,212,43,250,2.559999942779541,0,13616100
Chev. Malibu,4504,22,3,3.5,17,3180,193,31,200,2.7300000190734863,0,10112400
Chev. Monte Carlo,5104,22,2,2,16,3220,200,41,200,2.7300000190734863,0,10368400
Chev. Monza,3667,24,2,2,7,2750,179,40,151,2.7300000190734863,0,7562500
Chev. Nova,3955,19,3,3.5,13,3430,197,43,250,2.559999942779541,0,11764900
Dodge Colt,3984,30,5,2,8,2120,163,35,98,3.5399999618530273,0,4494400
Dodge Diplomat,4010,18,2,4,17,3600,206,46,318,2.4700000286102295,0,12960000
Dodge Magnum,5886,16,2,4,17,3600,206,46,318,2.4700000286102295,0,12960000
Dodge St. Regis,6342,17,2,4.5,21,3740,220,46,225,2.940000057220459,0,13987600
Ford Fiesta,4389,28,4,1.5,9,1800,147,33,98,3.1500000953674316,0,3240000
Ford Mustang,4187,21,3,2,10,2650,179,43,140,3.0799999237060547,0,7022500
Linc. Continental,11497,12,3,3.5,22,4840,233,51,400,2.4700000286102295,0,23425600
Linc. Mark V,13594,12,3,2.5,18,4720,230,48,400,2.4700000286102295,0,22278400
Linc. Versailles,13466,14,3,3.5,15,3830,201,41,302,2.4700000286102295,0,14668900
Merc. Bobcat,3829,22,4,3,9,2580,169,39,140,2.7300000190734863,0,6656400
Merc. Cougar,5379,14,4,3.5,16,4060,221,48,302,2.75,0,16483600
Merc. Marquis,6165,15,3,3.5,23,3720,212,44,302,2.259999990463257,0,13838400
Merc. Monarch,4516,18,3,3,15,3370,198,41,250,2.430000066757202,0,11356900
Merc. XR-7,6303,14,4,3,16,4130,217,45,302,2.75,0,17056900
Merc. Zephyr,3291,20,3,3.5,17,2830,195,43,140,3.0799999237060547,0,8008900
Olds 98,8814,21,4,4,20,4060,220,43,350,2.4100000858306885,0,16483600
Olds Cutl Supr,5172,19,3,2,16,3310,198,42,231,2.930000066757202,0,10956100
Olds Cutlass,4733,19,3,4.5,16,3300,198,42,231,2.930000066757202,0,10890000
Olds Delta 88,4890,18,4,4,20,3690,218,42,231,2.7300000190734863,0,13616100
Olds Omega,4181,19,3,4.5,14,3370,200,43,231,3.0799999237060547,0,11356900
Olds Starfire,4195,24,1,2,10,2730,180,40,151,2.7300000190734863,0,7452900
Olds Toronado,10371,16,3,3.5,17,4030,206,43,350,2.4100000858306885,0,16240900
Plym. Arrow,4647,28,3,2,11,3260,170,37,156,3.049999952316284,0,10627600
Plym. Champ,4425,34,5,2.5,11,1800,157,37,86,2.9700000286102295,0,3240000
Plym. Horizon,4482,25,3,4,17,2200,165,36,105,3.369999885559082,0,4840000
Plym. Sapporo,6486,26,NA,1.5,8,2520,182,38,119,3.5399999618530273,0,6350400
Plym. Volare,4060,18,2,5,16,3330,201,44,225,3.2300000190734863,0,11088900
Pont. Catalina,5798,18,4,4,20,3700,214,42,231,2.7300000190734863,0,13690000
Pont. Firebird,4934,18,1,1.5,7,3470,198,42,231,3.0799999237060547,0,12040900
Pont. Grand Prix,5222,19,3,2,16,3210,201,45,231,2.930000066757202,0,10304100
Pont. Le Mans,4723,19,3,3.5,17,3200,199,40,231,2.930000066757202,0,10240000
Pont. Phoenix,4424,19,NA,3.5,13,3420,203,43,231,3.0799999237060547,0,11696400
Pont. Sunbird,4172,24,2,2,7,2690,179,41,151,2.7300000190734863,0,7236100
Audi 5000,9690,17,5,3,15,2830,189,37,131,3.200000047683716,1,8008900
Audi Fox,6295,23,3,2.5,11,2070,174,36,97,3.700000047683716,1,4284900
BMW 320i,9735,25,4,2.5,12,2650,177,34,121,3.640000104904175,1,7022500
Datsun 200,6229,23,4,1.5,6,2370,170,35,119,3.890000104904175,1,5616900
Datsun 210,4589,35,5,2,8,2020,165,32,85,3.700000047683716,1,4080400
Datsun 510,5079,24,4,2.5,8,2280,170,34,119,3.5399999618530273,1,5198400
Datsun 810,8129,21,4,2.5,8,2750,184,38,146,3.549999952316284,1,7562500
Fiat Strada,4296,21,3,2.5,16,2130,161,36,105,3.369999885559082,1,4536900
Honda Accord,5799,25,5,3,10,2240,172,36,107,3.049999952316284,1,5017600
Honda Civic,4499,28,4,2.5,5,1760,149,34,91,3.299999952316284,1,3097600
Mazda GLC,3995,30,4,3.5,11,1980,154,33,86,3.7300000190734863,1,3920400
Peugeot 604,12990,14,NA,3.5,14,3420,192,38,163,3.5799999237060547,1,11696400
Renault Le Car,3895,26,3,3,10,1830,142,34,79,3.7200000286102295,1,3348900
Subaru,3798,35,5,2.5,11,2050,164,36,97,3.809999942779541,1,4202500
Toyota Celica,5899,18,5,2.5,14,2410,174,36,134,3.059999942779541,1,5808100
Toyota Corolla,3748,31,5,3,9,2200,165,35,97,3.2100000381469727,1,4840000
Toyota Corona,5719,18,5,2,11,2670,175,36,134,3.049999952316284,1,7128900
VW Dasher,7140,23,4,2.5,12,2160,172,36,97,3.740000009536743,1,4665600
VW Diesel,5397,41,5,3,15,2040,155,35,90,3.7799999713897705,1,4161600
VW Rabbit,4697,25,4,3,15,1930,155,35,89,3.7799999713897705,1,3724900
VW Scirocco,6850,25,4,2,16,1990,156,36,97,3.7799999713897705,1,3960100
Volvo 260,11995,17,5,2.5,14,3170,193,37,163,2.9800000190734863,1,10048900
