Date,Block,Primary Type,Description,Location Description,Ward,Community Area,Year,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
08/23/2019 11:00:00 PM,057XX S HALSTED ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,16,68,2019,"(41.790211616, -87.645053415)",19,21559,66,113,2,11,17,261
08/23/2019 11:00:00 PM,072XX W WELLINGTON AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,29,17,2019,"(41.9345078, -87.807058548)",,4454,,,,,,
08/23/2019 10:40:00 PM,045XX S MARSHFIELD AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,15,61,2019,"(41.810863982, -87.666265268)",12,14924,59,738,3,37,23,108
08/23/2019 10:30:00 PM,110XX S SANGAMON ST,MOTOR VEHICLE THEFT,AUTOMOBILE,DRIVEWAY - RESIDENTIAL,34,75,2019,"(41.693900749, -87.646081175)",45,22212,74,315,22,13,9,263
08/23/2019 10:00:00 PM,022XX S KOLIN AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,22,29,2019,"(41.850685646, -87.732304466)",14,21569,30,125,28,57,21,161
08/23/2019 10:00:00 PM,060XX N MC LEOD AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,39,10,2019,"(41.991788858, -87.785586322)",20,22532,36,656,38,18,12,34
08/23/2019 10:00:00 PM,005XX S LAVERGNE AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,29,25,2019,"(41.87363781, -87.749166681)",36,22216,26,69,7,32,25,137
08/23/2019 09:30:00 PM,026XX W HOLLYWOOD AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,40,2,2019,"(41.984954894, -87.696086459)",46,4450,20,15,24,50,2,57
08/23/2019 09:30:00 PM,014XX N RIDGEWAY AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,26,23,2019,"(41.907041528, -87.720358485)",10,4299,24,454,49,5,6,193
08/23/2019 09:00:00 PM,042XX S STATE ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,3,38,2019,"(41.817460919, -87.626298122)",12,14924,4,414,9,36,24,102
08/23/2019 08:00:00 PM,031XX S CENTRAL PARK AVE,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,22,30,2019,"(41.83616761, -87.714569455)",14,21569,32,200,28,57,21,166
08/23/2019 08:00:00 PM,031XX S CENTRAL PARK AVE,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,22,30,2019,"(41.83616761, -87.714569455)",14,21569,32,200,28,57,21,166
08/23/2019 05:30:00 PM,053XX W CHICAGO AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,APARTMENT,37,25,2019,"(41.894907028, -87.758669478)",4,22216,26,673,45,32,25,67
08/23/2019 02:00:00 PM,006XX N LA SALLE DR,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,42,8,2019,"(41.893469034, -87.632648229)",22,4446,37,670,36,55,14,72
08/23/2019 01:45:00 PM,041XX S LAKE SHORE DR SB,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),4,36,2019,"(41.819732767, -87.59739731)",1,4301,2,220,10,36,24,104
08/23/2019 01:00:00 PM,030XX S KEELER AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,22,30,2019,"(41.837713854, -87.729233242)",14,21569,32,248,28,57,21,167
08/23/2019 11:22:00 AM,078XX S CARPENTER ST,MOTOR VEHICLE THEFT,AUTOMOBILE,APARTMENT,17,71,2019,"(41.751824539, -87.65013257)",17,21554,70,487,31,59,20,230
08/23/2019 10:00:00 AM,009XX W HUBBARD ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,27,24,2019,"(41.890039775, -87.651974506)",41,22620,25,522,46,49,15,76
08/23/2019 10:00:00 AM,026XX N ASHLAND AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,32,7,2019,"(41.929246202, -87.668289293)",16,21190,68,743,40,16,5,172
08/23/2019 09:53:00 AM,019XX W HURON ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,1,24,2019,"(41.894113579, -87.675742573)",24,21560,25,519,41,4,15,80
08/23/2019 09:00:00 AM,075XX N MAPLEWOOD AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,50,2,2019,,,,,,,,,
08/23/2019 06:30:00 AM,042XX W AUGUSTA BLVD,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,37,23,2019,"(41.898922811, -87.732058055)",4,4299,24,99,45,5,16,68
08/23/2019 06:00:00 AM,008XX E HYDE PARK BLVD,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,4,39,2019,"(41.802264466, -87.605856752)",1,21192,5,461,10,10,24,116
08/23/2019 03:30:00 AM,029XX E 78TH ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,7,43,2019,"(41.75389304, -87.553878184)",43,22538,39,421,37,24,19,225
08/23/2019 01:00:00 AM,026XX W JACKSON BLVD,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,28,28,2019,"(41.877479113, -87.692447889)",11,21184,28,38,23,28,16,138
08/22/2019 10:00:00 PM,013XX W 15TH ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,25,28,2019,"(41.861559271, -87.65976218)",48,14920,29,96,26,43,15,150
08/22/2019 10:00:00 PM,018XX S SPAULDING AVE,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,ALLEY,24,29,2019,"(41.85610928, -87.707817692)",36,21569,30,202,14,57,21,130
08/22/2019 09:30:00 PM,048XX S EVANS AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,4,38,2019,"(41.806870212, -87.607726628)",1,21192,4,165,10,10,24,116
08/22/2019 09:00:00 PM,027XX S HARDING AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,22,30,2019,"(41.84174108, -87.723264804)",14,21569,32,227,28,57,21,167
